[2024-03-28 12:32:42] No settings files found: /home/kingrain/Documents/min/mindustry server/mindustry-server/config/settings.bin and /home/kingrain/Documents/min/mindustry server/mindustry-server/config/settings_backup.bin
[2024-03-28 13:43:10] Saving 3 values; 71 bytes
[2024-03-28 13:43:13] Saving 3 values; 71 bytes
[2024-03-28 13:43:13] Saving 3 values; 71 bytes
[2024-03-28 13:43:14] Saving 3 values; 71 bytes
[2024-03-28 13:44:10] Saving 3 values; 71 bytes
[2024-03-28 13:45:10] Saving 3 values; 71 bytes
[2024-03-28 13:46:10] Saving 3 values; 71 bytes
[2024-03-28 13:47:10] Saving 3 values; 71 bytes
[2024-03-28 13:48:10] Saving 3 values; 71 bytes
[2024-03-28 13:48:32] Saving 3 values; 71 bytes
[2024-03-28 13:48:32] Saving 3 values; 71 bytes
[2024-03-28 13:48:32] Saving 3 values; 71 bytes
[2024-03-28 13:49:10] Saving 3 values; 71 bytes
[2024-03-28 13:50:10] Saving 3 values; 71 bytes
[2024-03-28 13:51:10] Saving 3 values; 71 bytes
[2024-03-28 13:52:10] Saving 3 values; 71 bytes
[2024-03-28 13:53:10] Saving 3 values; 71 bytes
[2024-03-28 13:54:10] Saving 3 values; 71 bytes
[2024-03-28 13:55:10] Saving 3 values; 71 bytes
[2024-03-28 13:55:25] Saving 3 values; 71 bytes
[2024-03-28 13:55:25] Saving 3 values; 71 bytes
[2024-03-28 13:55:26] Saving 3 values; 71 bytes
[2024-03-28 13:56:10] Saving 3 values; 71 bytes
[2024-03-28 13:57:10] Saving 3 values; 71 bytes
[2024-03-28 13:58:10] Saving 3 values; 71 bytes
[2024-03-28 13:59:10] Saving 3 values; 71 bytes
[2024-03-28 14:00:10] Saving 3 values; 71 bytes
[2024-03-28 14:00:58] Saving 3 values; 71 bytes
[2024-03-28 14:00:58] Saving 3 values; 71 bytes
[2024-03-28 14:00:58] Saving 3 values; 71 bytes
[2024-03-28 14:01:10] Saving 3 values; 71 bytes
[2024-03-28 14:02:10] Saving 3 values; 71 bytes
[2024-03-28 14:03:10] Saving 3 values; 71 bytes
[2024-03-28 14:04:10] Saving 3 values; 71 bytes
[2024-03-28 14:05:10] Saving 3 values; 71 bytes
[2024-03-28 14:06:10] Saving 3 values; 71 bytes
[2024-03-28 14:06:53] Saving 3 values; 71 bytes
[2024-03-28 14:06:53] Saving 3 values; 71 bytes
[2024-03-28 14:06:54] Saving 3 values; 71 bytes
[2024-03-28 14:07:10] Saving 3 values; 71 bytes
[2024-03-28 14:08:10] Saving 3 values; 71 bytes
[2024-03-28 14:09:10] Saving 3 values; 71 bytes
[2024-03-28 14:10:10] Saving 3 values; 71 bytes
[2024-03-28 14:11:10] Saving 3 values; 71 bytes
[2024-03-28 14:12:10] Saving 3 values; 71 bytes
[2024-03-28 14:13:10] Saving 3 values; 71 bytes
[2024-03-28 14:13:13] Saving 3 values; 71 bytes
[2024-03-28 14:13:13] Saving 3 values; 71 bytes
[2024-03-28 14:13:13] Saving 3 values; 71 bytes
[2024-03-28 14:14:10] Saving 3 values; 71 bytes
[2024-03-28 14:15:10] Saving 3 values; 71 bytes
[2024-03-28 14:16:10] Saving 3 values; 71 bytes
[2024-03-28 14:17:10] Saving 3 values; 71 bytes
[2024-03-28 14:18:10] Saving 3 values; 71 bytes
[2024-03-28 14:19:10] Saving 3 values; 71 bytes
[2024-03-28 14:20:10] Saving 3 values; 71 bytes
[2024-03-28 14:20:50] Saving 3 values; 71 bytes
[2024-03-28 14:20:50] Saving 3 values; 71 bytes
[2024-03-28 14:20:51] Saving 3 values; 71 bytes
[2024-03-28 14:21:10] Saving 3 values; 71 bytes
[2024-03-28 14:22:10] Saving 3 values; 71 bytes
[2024-03-28 14:23:10] Saving 3 values; 71 bytes
[2024-03-28 14:24:10] Saving 3 values; 71 bytes
[2024-03-28 14:25:10] Saving 3 values; 71 bytes
[2024-03-28 14:26:10] Saving 3 values; 71 bytes
[2024-03-28 14:27:10] Saving 3 values; 71 bytes
[2024-03-28 14:28:10] Saving 3 values; 71 bytes
[2024-03-28 14:29:10] Saving 3 values; 71 bytes
[2024-03-28 14:30:10] Saving 3 values; 71 bytes
[2024-03-28 14:31:10] Saving 3 values; 71 bytes
[2024-03-28 14:32:10] Saving 3 values; 71 bytes
[2024-03-28 14:33:10] Saving 3 values; 71 bytes
[2024-03-28 14:34:10] Saving 3 values; 71 bytes
[2024-03-28 14:35:10] Saving 3 values; 71 bytes
[2024-03-28 14:35:50] Saving 3 values; 71 bytes
[2024-03-28 14:35:50] Saving 3 values; 71 bytes
[2024-03-28 14:35:51] Saving 3 values; 71 bytes
[2024-03-28 14:36:10] Saving 3 values; 71 bytes
[2024-03-28 14:37:10] Saving 3 values; 71 bytes
[2024-03-28 14:38:10] Saving 3 values; 71 bytes
[2024-03-28 14:39:10] Saving 3 values; 71 bytes
[2024-03-28 14:40:10] Saving 3 values; 71 bytes
[2024-03-28 14:41:10] Saving 3 values; 71 bytes
[2024-03-28 14:41:46] Saving 3 values; 71 bytes
[2024-03-28 14:41:46] Saving 3 values; 71 bytes
[2024-03-28 14:41:46] Saving 3 values; 71 bytes
[2024-03-28 14:42:10] Saving 3 values; 71 bytes
[2024-03-28 14:43:10] Saving 3 values; 71 bytes
[2024-03-28 14:44:10] Saving 3 values; 71 bytes
[2024-03-28 14:45:10] Saving 3 values; 71 bytes
[2024-03-28 14:46:10] Saving 3 values; 71 bytes
[2024-03-28 14:47:10] Saving 3 values; 71 bytes
[2024-03-28 14:48:10] Saving 3 values; 71 bytes
[2024-03-28 14:48:39] Saving 3 values; 71 bytes
[2024-03-28 14:48:39] Saving 3 values; 71 bytes
[2024-03-28 14:48:40] Saving 3 values; 71 bytes
[2024-03-28 14:49:10] Saving 3 values; 71 bytes
[2024-03-28 14:50:10] Saving 3 values; 71 bytes
[2024-03-28 14:51:10] Saving 3 values; 71 bytes
[2024-03-28 14:52:10] Saving 3 values; 71 bytes
[2024-03-28 14:53:10] Saving 3 values; 71 bytes
[2024-03-28 14:54:10] Saving 3 values; 71 bytes
[2024-03-28 14:55:10] Saving 3 values; 71 bytes
[2024-03-28 14:55:24] Saving 3 values; 71 bytes
[2024-03-28 14:55:24] Saving 3 values; 71 bytes
[2024-03-28 14:55:24] Saving 3 values; 71 bytes
[2024-03-28 14:56:10] Saving 3 values; 71 bytes
[2024-03-28 14:57:10] Saving 3 values; 71 bytes
[2024-03-28 14:58:10] Saving 3 values; 71 bytes
[2024-03-28 14:59:10] Saving 3 values; 71 bytes
[2024-03-28 15:00:10] Saving 3 values; 71 bytes
[2024-03-28 15:01:10] Saving 3 values; 71 bytes
[2024-03-28 15:02:10] Saving 3 values; 71 bytes
[2024-03-28 15:03:01] Saving 3 values; 71 bytes
[2024-03-28 15:03:01] Saving 3 values; 71 bytes
[2024-03-28 15:03:01] Saving 3 values; 71 bytes
[2024-03-28 15:03:10] Saving 3 values; 71 bytes
[2024-03-28 15:04:10] Saving 3 values; 71 bytes
[2024-03-28 15:05:10] Saving 3 values; 71 bytes
[2024-03-28 15:06:10] Saving 3 values; 71 bytes
[2024-03-28 15:07:10] Saving 3 values; 71 bytes
[2024-03-28 15:08:10] Saving 3 values; 71 bytes
[2024-03-28 15:08:29] Saving 3 values; 71 bytes
[2024-03-28 15:08:29] Saving 3 values; 71 bytes
[2024-03-28 15:08:30] Saving 3 values; 71 bytes
[2024-03-28 15:09:10] Saving 3 values; 71 bytes
[2024-03-28 15:10:10] Saving 3 values; 71 bytes
[2024-03-28 15:11:10] Saving 3 values; 71 bytes
[2024-03-28 15:12:10] Saving 3 values; 71 bytes
[2024-03-28 15:13:10] Saving 3 values; 71 bytes
[2024-03-28 15:14:10] Saving 3 values; 71 bytes
[2024-03-28 15:15:10] Saving 3 values; 71 bytes
[2024-03-28 15:15:13] Saving 3 values; 71 bytes
[2024-03-28 15:15:13] Saving 3 values; 71 bytes
[2024-03-28 15:15:14] Saving 3 values; 71 bytes
[2024-03-28 15:16:10] Saving 3 values; 71 bytes
[2024-03-28 15:17:10] Saving 3 values; 71 bytes
[2024-03-28 15:18:10] Saving 3 values; 71 bytes
[2024-03-28 15:19:10] Saving 3 values; 71 bytes
[2024-03-28 15:20:10] Saving 3 values; 71 bytes
[2024-03-28 15:21:09] Saving 3 values; 71 bytes
[2024-03-28 15:21:09] Saving 3 values; 71 bytes
[2024-03-28 15:21:09] Saving 3 values; 71 bytes
[2024-03-28 15:21:10] Saving 3 values; 71 bytes
[2024-03-28 15:22:10] Saving 3 values; 71 bytes
[2024-03-28 15:23:10] Saving 3 values; 71 bytes
[2024-03-28 15:24:10] Saving 3 values; 71 bytes
[2024-03-28 15:25:10] Saving 3 values; 71 bytes
[2024-03-28 15:26:10] Saving 3 values; 71 bytes
[2024-03-28 15:26:37] Saving 3 values; 71 bytes
[2024-03-28 15:26:37] Saving 3 values; 71 bytes
[2024-03-28 15:26:38] Saving 3 values; 71 bytes
[2024-03-28 15:27:10] Saving 3 values; 71 bytes
[2024-03-28 15:28:10] Saving 3 values; 71 bytes
[2024-03-28 15:29:10] Saving 3 values; 71 bytes
[2024-03-28 15:30:10] Saving 3 values; 71 bytes
[2024-03-28 15:31:10] Saving 3 values; 71 bytes
[2024-03-28 15:32:10] Saving 3 values; 71 bytes
[2024-03-28 15:33:10] Saving 3 values; 71 bytes
[2024-03-28 15:33:31] Saving 3 values; 71 bytes
[2024-03-28 15:33:32] Saving 3 values; 71 bytes
[2024-03-28 15:33:32] Saving 3 values; 71 bytes
[2024-03-28 15:34:10] Saving 3 values; 71 bytes
[2024-03-28 15:35:10] Saving 3 values; 71 bytes
[2024-03-28 15:36:10] Saving 3 values; 71 bytes
[2024-03-28 15:37:10] Saving 3 values; 71 bytes
[2024-03-28 15:38:10] Saving 3 values; 71 bytes
[2024-03-28 15:39:10] Saving 3 values; 71 bytes
[2024-03-28 15:40:10] Saving 3 values; 71 bytes
[2024-03-28 15:41:09] Saving 3 values; 71 bytes
[2024-03-28 15:41:09] Saving 3 values; 71 bytes
[2024-03-28 15:41:10] Saving 3 values; 71 bytes
[2024-03-28 15:41:10] Saving 3 values; 71 bytes
[2024-03-28 15:42:10] Saving 3 values; 71 bytes
[2024-03-28 15:43:10] Saving 3 values; 71 bytes
[2024-03-28 15:44:10] Saving 3 values; 71 bytes
[2024-03-28 15:45:10] Saving 3 values; 71 bytes
[2024-03-28 15:46:10] Saving 3 values; 71 bytes
[2024-03-28 15:47:05] Saving 3 values; 71 bytes
[2024-03-28 15:47:05] Saving 3 values; 71 bytes
[2024-03-28 15:47:06] Saving 3 values; 71 bytes
[2024-03-28 15:47:10] Saving 3 values; 71 bytes
[2024-03-28 15:48:10] Saving 3 values; 71 bytes
[2024-03-28 15:49:10] Saving 3 values; 71 bytes
[2024-03-28 15:50:10] Saving 3 values; 71 bytes
[2024-03-28 15:51:10] Saving 3 values; 71 bytes
[2024-03-28 15:52:10] Saving 3 values; 71 bytes
[2024-03-28 15:53:01] Saving 3 values; 71 bytes
[2024-03-28 15:53:01] Saving 3 values; 71 bytes
[2024-03-28 15:53:01] Saving 3 values; 71 bytes
[2024-03-28 15:53:10] Saving 3 values; 71 bytes
[2024-03-28 15:54:10] Saving 3 values; 71 bytes
[2024-03-28 15:55:10] Saving 3 values; 71 bytes
[2024-03-28 15:56:10] Saving 3 values; 71 bytes
[2024-03-28 15:57:10] Saving 3 values; 71 bytes
[2024-03-28 15:58:10] Saving 3 values; 71 bytes
[2024-03-28 15:59:10] Saving 3 values; 71 bytes
[2024-03-28 15:59:54] Saving 3 values; 71 bytes
[2024-03-28 15:59:54] Saving 3 values; 71 bytes
[2024-03-28 15:59:54] Saving 3 values; 71 bytes
[2024-03-28 16:00:10] Saving 3 values; 71 bytes
[2024-03-28 16:01:10] Saving 3 values; 71 bytes
[2024-03-28 16:02:10] Saving 3 values; 71 bytes
[2024-03-28 16:03:10] Saving 3 values; 71 bytes
[2024-03-28 16:04:10] Saving 3 values; 71 bytes
[2024-03-28 16:05:10] Saving 3 values; 71 bytes
[2024-03-28 16:06:10] Saving 3 values; 71 bytes
[2024-03-28 16:06:13] Saving 3 values; 71 bytes
[2024-03-28 16:06:13] Saving 3 values; 71 bytes
[2024-03-28 16:06:14] Saving 3 values; 71 bytes
[2024-03-28 16:07:10] Saving 3 values; 71 bytes
[2024-03-28 16:08:10] Saving 3 values; 71 bytes
[2024-03-28 16:09:10] Saving 3 values; 71 bytes
[2024-03-28 16:10:10] Saving 3 values; 71 bytes
[2024-03-28 16:11:10] Saving 3 values; 71 bytes
[2024-03-28 16:11:45] Saving 3 values; 71 bytes
[2024-03-28 16:11:45] Saving 3 values; 71 bytes
[2024-03-28 16:11:46] Saving 3 values; 71 bytes
[2024-03-28 16:12:10] Saving 3 values; 71 bytes
[2024-03-28 16:13:10] Saving 3 values; 71 bytes
[2024-03-28 16:14:10] Saving 3 values; 71 bytes
[2024-03-28 16:15:10] Saving 3 values; 71 bytes
[2024-03-28 16:16:10] Saving 3 values; 71 bytes
[2024-03-28 16:17:10] Saving 3 values; 71 bytes
[2024-03-28 16:18:05] Saving 3 values; 71 bytes
[2024-03-28 16:18:05] Saving 3 values; 71 bytes
[2024-03-28 16:18:05] Saving 3 values; 71 bytes
[2024-03-28 16:18:10] Saving 3 values; 71 bytes
[2024-03-28 16:19:10] Saving 3 values; 71 bytes
[2024-03-28 16:20:10] Saving 3 values; 71 bytes
[2024-03-28 16:21:10] Saving 3 values; 71 bytes
[2024-03-28 16:22:10] Saving 3 values; 71 bytes
[2024-03-28 16:23:10] Saving 3 values; 71 bytes
[2024-03-28 16:24:10] Saving 3 values; 71 bytes
[2024-03-28 16:25:10] Saving 3 values; 71 bytes
[2024-03-28 16:26:10] Saving 3 values; 71 bytes
[2024-03-28 16:27:10] Saving 3 values; 71 bytes
[2024-03-28 16:28:10] Saving 3 values; 71 bytes
[2024-03-28 16:29:10] Saving 3 values; 71 bytes
[2024-03-28 16:30:10] Saving 3 values; 71 bytes
[2024-03-28 16:30:26] Saving 3 values; 71 bytes
[2024-03-28 16:30:26] Saving 3 values; 71 bytes
[2024-03-28 16:30:26] Saving 3 values; 71 bytes
[2024-03-28 16:31:10] Saving 3 values; 71 bytes
[2024-03-28 16:32:10] Saving 3 values; 71 bytes
[2024-03-28 16:33:10] Saving 3 values; 71 bytes
[2024-03-28 16:34:10] Saving 3 values; 71 bytes
[2024-03-28 16:35:10] Saving 3 values; 71 bytes
[2024-03-28 16:36:10] Saving 3 values; 71 bytes
[2024-03-28 16:37:10] Saving 3 values; 71 bytes
[2024-03-28 16:37:19] Saving 3 values; 71 bytes
[2024-03-28 16:37:19] Saving 3 values; 71 bytes
[2024-03-28 16:37:20] Saving 3 values; 71 bytes
[2024-03-28 16:38:10] Saving 3 values; 71 bytes
[2024-03-28 16:39:10] Saving 3 values; 71 bytes
[2024-03-28 16:40:10] Saving 3 values; 71 bytes
[2024-03-28 16:41:10] Saving 3 values; 71 bytes
[2024-03-28 16:42:10] Saving 3 values; 71 bytes
[2024-03-28 16:42:48] Saving 3 values; 71 bytes
[2024-03-28 16:42:48] Saving 3 values; 71 bytes
[2024-03-28 16:42:48] Saving 3 values; 71 bytes
[2024-03-28 16:43:10] Saving 3 values; 71 bytes
